address_id,country,city,zip_code,street,building_number
1,Switzerland,North Mark,92543,Kimberly Rest,2869
2,Maldives,West Adam,76975,Miller Hollow,618
3,Fiji,Port Joseph,20998,Williams Canyon,3950
4,Grenada,Maryton,62765,Jordan Branch,4372
5,Djibouti,Danielberg,82711,Franklin Brooks,0585
6,Dominican Republic,West Sarah,66757,Ashley Wall,902
7,Saint Barthelemy,West Rhondachester,62528,Gomez Plains,4609
8,Lebanon,East Kathleen,42452,Wood Stream,2758
9,Indonesia,Rojastown,32826,Morgan Isle,1304
10,Cook Islands,South Tiffanyton,34583,Kristine Drive,827
11,Yemen,Walkerland,15368,Castillo Hollow,72770
12,Luxembourg,South Michael,75274,Daniel Meadow,75427
13,Tokelau,New April,97571,Cox Freeway,24486
14,Singapore,Adammouth,02627,Sullivan Landing,6054
15,Mayotte,Lake Kylehaven,47945,David Ridge,922
16,Senegal,Christopherfurt,12736,Alvarado Ridges,8411
17,Puerto Rico,Jesseside,78696,Davis Mountains,51995
18,Western Sahara,Ryanland,92311,Nichols Trafficway,498
19,Bulgaria,Nguyenchester,93916,Banks Court,88718
20,Eritrea,Castilloland,86525,Dunn Prairie,13554
21,Togo,Port Kevin,53420,Gross Walks,78662
22,Cape Verde,Port Dean,16729,Matthew Trail,7133
23,Botswana,Jordanfort,33755,Joshua Forges,7514
24,Namibia,Penaborough,08392,Hill Junctions,2648
25,Cambodia,New Kendra,37789,Jessica Views,959
26,Northern Mariana Islands,East Barbara,36893,Aguilar Unions,92993
27,Maldives,Lake Casey,42020,Lisa Falls,89653
28,Moldova,Meganstad,54263,Watson Summit,3644
29,Honduras,South Matthewberg,36829,Kennedy Mall,506
30,Heard Island and McDonald Islands,Blackmouth,62469,Davis Views,0198
31,Netherlands Antilles,Antonioland,23266,Julia Courts,379
32,Liberia,East Wayne,16446,Benjamin Shore,221
33,Saint Lucia,Fernandezberg,00898,Kathleen View,409
34,Gabon,Port Marilyn,22016,Garcia Camp,953
35,Algeria,West Vickie,82023,Norman Way,092
36,Niger,North Nathaniel,89267,Jones Summit,470
37,Bolivia,New Williamhaven,97659,Rodriguez Springs,1124
38,Oman,Gutierrezshire,97110,Baker Road,202
39,United States Minor Outlying Islands,Rebeccatown,69385,Jack Points,5478
40,Oman,Millerbury,56324,Davis Spurs,04045
41,Netherlands,Woodshaven,32263,Larson Knoll,09346
42,Guyana,East Richardhaven,81142,Rachel Plains,7287
43,Slovakia (Slovak Republic),Greenland,45199,Phillip Roads,34005
44,Aruba,Christinahaven,39361,William Run,3758
45,Christmas Island,North Lindsay,78909,Schmidt Knoll,50325
46,Venezuela,Pooleside,69534,Rodriguez Creek,7394
47,Tokelau,West Jennifer,92137,Stanley Fall,33922
48,Saint Kitts and Nevis,Briannahaven,48651,Bond Shoal,637
49,Comoros,East Samueltown,99605,Mitchell Throughway,25573
50,Brunei Darussalam,East Emmaland,81998,Eileen Road,611
51,Paraguay,Osbornemouth,14334,Brown Road,1201
52,Lesotho,New Bryanview,67381,Owens Drive,389
53,Anguilla,Stephensonberg,41907,Mitchell Row,2703
54,Barbados,Lake Kevin,97685,Wright Freeway,7950
55,Pakistan,East Rachelview,22658,James Walks,78808
56,Sweden,Zacharyside,92656,Johnson Route,61285
57,Sao Tome and Principe,Port Paulmouth,96368,Moore Springs,0164
